year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2012,Josh,,Tim Hardaway Jr.,Michigan,4,14.6,14,,,,,,14,1,14,5,34,2,Midwest,Big Ten,205,Michigan,-83.75,42.259998
2012,Josh,,Quincy Acy,Baylor,3,11.8,4,7,20,22,,,53,4,13.3,6,47,2,South,Big 12,206,Baylor,-97.110001,31.549999
2012,Josh,,Tu Holloway,Xavier,10,17,25,21,22,,,,68,3,22.700001,7,50,2,South,Atlantic 10,207,Xavier,-84.470001,39.150002
2012,Josh,,Phil Pressey,Missouri,2,10,20,,,,,,20,1,20,8,63,2,West,Big 12,208,Missouri,-92.330002,38.93
2012,Bryan,,Jared Sullinger,Ohio St.,2,17.6,12,18,23,19,13,,85,5,17,1,3,3,East,Big Ten,209,Ohio St.,-83.019997,40.009998
2012,Bryan,,Doron Lamb,Kentucky,1,13.2,16,16,21,14,10,22,99,6,16.5,2,14,3,South,SEC,210,Kentucky,-84.5,38.049999
2012,Bryan,,Austin Rivers,Duke,2,15.4,19,,,,,,19,1,19,3,19,3,South,ACC,211,Duke,-78.940002,36
2012,Bryan,,Jordan Taylor,Wisconsin,4,14.7,17,14,17,,,,48,3,16,4,30,3,East,Big Ten,212,Wisconsin,-89.400002,43.07
2012,Bryan,,Elijah Johnson,Kansas,2,9.6000004,15,18,11,10,13,13,80,6,13.3,5,35,3,Midwest,Big 12,213,Kansas,-95.25,38.950001
2012,Bryan,,Drew Gordon,New Mexico,5,13.4,18,21,,,,,39,2,19.5,6,46,3,West,Mountain West,214,New Mexico,-106.63,35.07
2012,Bryan,1,Mason Plumlee,Duke,2,10.9,21,,,,,,21,1,21,7,51,3,South,ACC,215,Duke,-78.940002,36
2012,Bryan,,Kendall Marshall,North Carolina,1,7.8000002,11,18,0,0,,,29,4,7.3000002,8,62,3,Midwest,ACC,216,North Carolina,-79.040001,35.900002
2012,Andrew F,,Tyshawn Taylor,Kansas,2,17.299999,10,10,6,22,10,19,77,6,12.8,1,4,4,Midwest,Big 12,217,Kansas,-95.25,38.950001
2012,Andrew F,,Darius Johnson-Odom,Marquette,3,18.5,20,17,14,,,,51,3,17,2,13,4,West,Big East,218,Marquette,-87.919998,43.040001
2012,Andrew F,6,Jae Crowder,Marquette,3,17.4,25,17,15,,,,57,3,19,3,20,4,West,Big East,219,Marquette,-87.919998,43.040001
2012,Andrew F,,John Jenkins,Vanderbilt,5,19.9,27,13,,,,,40,2,20,4,29,4,East,SEC,220,Vanderbilt,-86.809998,36.139999
2012,Andrew F,,Ramone Moore,Temple,5,17.700001,5,,,,,,5,1,5,5,36,4,Midwest,Atlantic 10,221,Temple,-75.158562,39.97987
2012,Andrew F,,Joe Ragland,Wichita St.,5,13.4,15,,,,,,15,1,15,6,45,4,South,Missouri Valley,222,Wichita St.,-97.300003,37.720001
2012,Andrew F,,Brandon Wood,Michigan St.,1,8.6000004,7,10,14,,,,31,3,10.3,7,52,4,West,Big Ten,223,Michigan St.,-84.489998,42.73
2012,Andrew F,,J'Covan Brown,Texas,11,20.1,19,,,,,,19,1,19,8,61,4,East,Big 12,224,Texas,-97.730003,30.280001
2012,Andrew L,,Anthony Davis,Kentucky,1,14.3,16,15,9,18,18,6,82,6,13.7,1,5,5,South,SEC,225,Kentucky,-84.5,38.049999
2012,Andrew L,,Deshaun Thomas,Ohio St.,2,15.4,31,18,26,14,9,,98,5,19.6,2,12,5,East,Big Ten,226,Ohio St.,-83.019997,40.009998
2012,Andrew L,,Perry Jones III,Baylor,3,14.3,2,7,14,17,,,40,4,10,3,21,5,South,Big 12,227,Baylor,-97.110001,31.549999
2012,Andrew L,,Dion Waiters,Syracuse,1,12.6,12,18,13,9,,,52,4,13,4,28,5,East,Big East,228,Syracuse,-76.139999,43.040001
2012,Andrew L,,Kyle Kuric,Louisville,4,13.1,13,10,7,8,7,,45,5,9,5,37,5,West,Big East,229,Louisville,-85.75,38.259998
2012,Andrew L,2,Khalif Wyatt,Temple,5,17.1,19,,,,,,19,1,19,6,44,5,Midwest,Atlantic 10,230,Temple,-75.158562,39.97987
2012,Andrew L,,Will Barton,Memphis,8,18.1,16,,,,,,16,1,16,7,53,5,West,Conference USA,231,Memphis,-90.050583,35.138123
2012,Andrew L,,Sean Kilpatrick,Cincinnati,6,14.3,8,18,15,,,,41,3,13.7,8,60,5,East,Big East,232,Cincinnati,-84.459999,39.029999
2012,Alex,,Draymond Green,Michigan St.,1,16.1,24,16,13,,,,53,3,17.700001,1,6,6,West,Big Ten,233,Michigan St.,-84.489998,42.73
2012,Alex,7,Thomas Robinson,Kansas,1,17.9,16,11,18,18,19,18,100,6,16.700001,2,11,6,Midwest,Big 12,234,Kansas,-95.25,38.950001
2012,Alex,,Keith Appling,Michigan St.,1,11.3,10,19,6,,,,35,3,11.7,3,22,6,West,Big Ten,235,Michigan St.,-84.489998,42.73
2012,Alex,,Trey Burke,Michigan,4,14.8,16,,,,,,16,1,16,4,27,6,Midwest,Big Ten,236,Michigan,-83.75,42.259998
2012,Alex,,Ryan Kelly,Duke,2,11.8,,,,,,,0,0,0,5,38,6,South,ACC,237,Duke,-78.940002,36
2012,Alex,,Darius Miller,Kentucky,1,9.6000004,6,19,19,8,13,5,70,6,11.7,6,43,6,South,SEC,238,Kentucky,-84.5,38.049999
2012,Alex,,Kevin Jones,West Virginia,10,20.1,13,,,,,,13,1,13,7,54,6,East,Big East,239,West Virginia,-79.980003,39.650002
2012,Alex,,Mike Scott,Virginia,10,18.1,15,,,,,,15,1,15,8,59,6,West,ACC,240,Virginia,-78.510002,38.049999
2012,Adam,,Tyler Zeller,North Carolina,1,16.5,17,11,20,12,,,60,4,15,1,7,7,Midwest,ACC,241,North Carolina,-79.040001,35.900002
2012,Adam,,Terrence Jones,Kentucky,1,12.5,22,8,12,12,6,9,69,6,11.5,2,10,7,South,SEC,242,Kentucky,-84.5,38.049999
2012,Adam,,Michael Snaer,Florida St.,3,14.5,0,11,,,,,11,2,5.5,3,23,7,East,ACC,243,Florida St.,-84.290001,30.440001
2012,Adam,,Pierre Jackson,Baylor,3,13.3,18,15,16,21,,,70,4,17.5,4,26,7,South,Big 12,244,Baylor,-97.110001,31.549999
2012,Adam,,Cody Zeller,Indiana,4,15.5,14,16,20,,,,50,3,0,5,39,7,South,Big Ten,245,Indiana,-86.519997,39.18
2012,Adam,4,Brandon Triche,Syracuse,1,9.3000002,9,4,11,15,,,39,4,9.8000002,6,42,7,East,Big East,246,Syracuse,-76.139999,43.040001
2012,Adam,,Donte Poole,Murray St.,6,14.2,13,7,,,,,20,2,10,7,55,7,West,Ohio Valley,247,Murray St.,-88.32,36.619999
2012,Adam,,Kendall Williams,New Mexico,5,12,16,11,,,,,27,2,13.5,8,58,7,West,Mountain West,248,New Mexico,-106.63,35.07
2012,Rob,,John Henson,North Carolina,1,13.8,0,13,14,10,,,37,4,9.3000002,1,8,8,Midwest,ACC,249,North Carolina,-79.040001,35.900002
2012,Rob,,Kris Joseph,Syracuse,1,13.8,12,11,7,10,,,40,4,10,2,9,8,East,Big East,250,Syracuse,-76.139999,43.040001
2012,Rob,,Michael Dixon,Missouri,2,13.3,22,,,,,,22,1,22,3,24,8,West,Big 12,251,Missouri,-92.330002,38.93
2012,Rob,,Seth Curry,Duke,2,13.4,7,,,,,,7,1,7,4,25,8,South,ACC,252,Duke,-78.940002,36
2012,Rob,,Jeffrey Taylor,Vanderbilt,5,16.4,15,9,,,,,24,2,0,5,40,8,East,SEC,253,Vanderbilt,-86.809998,36.139999
2012,Rob,,Hollis Thompson,Georgetown,3,12.7,6,23,,,,,29,2,14.5,6,41,8,Midwest,Big East,254,Georgetown,-77.019997,38.900002
2012,Rob,,Russ Smith,Louisville,4,11.4,6,17,11,19,9,,62,5,12.4,7,56,8,West,Big East,255,Louisville,-85.75,38.259998
2012,Rob,8,Jeremy Lamb,Connecticut,9,17.700001,19,,,,,,19,1,19,8,57,8,South,Big East,256,Connecticut,-72.676193,41.768265
2013,Rob,,Russ Smith,Louisville,1,18.1,23,27,31,23,21,9,134,6,22.299999,1,1,1,Midwest,Big East,257,Louisville,-85.75,38.259998
2013,Rob,,Kenny Kadji,Miami,2,13.5,6,10,11,,,,27,3,9,2,16,1,East,ACC,258,Miami,-80.279999,25.719999
2013,Rob,,Markel Starks,Georgetown,2,12.5,23,,,,,,23,1,23,3,17,1,South,Big East,259,Georgetown,-77.019997,38.900002
2013,Rob,,Doug McDermott,Creighton,7,23.1,27,21,,,,,48,2,24,4,32,1,Midwest,Missouri Valley,260,Creighton,-95.93,41.259998
2013,Rob,,PJ Hairston,North Carolina,8,13.8,23,15,,,,,38,2,19,5,33,1,South,ACC,261,North Carolina,-79.040001,35.900002
2013,Rob,,Lenzelle Smith,Ohio St.,2,9.6000004,12,6,6,5,,,29,4,7.3000002,6,48,1,West,Big Ten,262,Ohio St.,-83.019997,40.009998
2013,Rob,,Anthony Bennett,UNLV,5,16.1,13,,,,,,13,1,13,7,49,1,East,Mountain West,263,UNLV,-115.15,36.099998
2013,Rob,7,Markel Brown,Oklahoma St.,5,15.3,16,,,,,,16,1,16,8,64,1,Midwest,Big 12,264,Oklahoma St.,-97.07,36.119999
2013,James,8,Cody Zeller,Indiana,1,16.9,11,15,10,,,,36,3,12,1,2,2,East,Big Ten,265,Indiana,-86.519997,39.18
2013,James,,Christian Watford,Indiana,1,12.5,9,9,13,,,,31,3,10.3,2,15,2,East,Big Ten,266,Indiana,-86.519997,39.18
2013,James,,Jordan Hulls,Indiana,1,10.1,10,5,0,,,,15,3,5,3,18,2,East,Big Ten,267,Indiana,-86.519997,39.18
2013,James,,Will Sheehey,Indiana,1,9.3999996,15,10,9,,,,34,3,11.3,4,31,2,East,Big Ten,268,Indiana,-86.519997,39.18
2013,James,,Rodney McGruder,Kansas St.,4,15.7,13,,,,,,13,1,13,5,34,2,West,Big 12,269,Kansas St.,-96.589996,39.200001
2013,James,,Angel Rodriguez,Kansas St.,4,11.7,2,,,,,,2,1,2,6,47,2,West,Big 12,270,Kansas St.,-96.589996,39.200001
2013,James,,Nik Stauskas,Michigan,4,11.5,8,8,11,22,0,3,52,6,8.6999998,7,50,2,South,Big Ten,271,Michigan,-83.75,42.259998
2013,James,,Yogi Ferrell,Indiana,1,7.8000002,16,0,0,,,,16,3,5.3000002,8,63,2,East,Big Ten,272,Indiana,-86.519997,39.18
2013,Josh,,Kelly Olynyk,Gonzaga,1,17.5,21,26,,,,,47,2,23.5,1,3,3,West,West Coast,273,Gonzaga,-117.4,47.669998
2013,Josh,3,Trey Burke,Michigan,4,19.200001,6,18,23,15,7,24,93,6,15.5,2,14,3,South,Big Ten,274,Michigan,-83.75,42.259998
2013,Josh,,Kevin Pangos,Gonzaga,1,11.5,16,19,,,,,35,2,17.5,3,19,3,West,West Coast,275,Gonzaga,-117.4,47.669998
2013,Josh,,Durand Scott,Miami,2,13.4,21,6,10,,,,37,3,12.3,4,30,3,East,ACC,276,Miami,-80.279999,25.719999
2013,Josh,,James Southerland,Syracuse,4,13.9,9,14,5,16,5,,49,5,9.8000002,5,35,3,East,Big East,277,Syracuse,-76.139999,43.040001
2013,Josh,,Marcus Smart,Oklahoma St.,5,15.4,14,,,,,,14,1,14,6,46,3,Midwest,Big 12,278,Oklahoma St.,-97.07,36.119999
2013,Josh,,Brandon Triche,Syracuse,4,13.8,20,8,14,9,11,,62,5,12.4,7,51,3,East,Big East,279,Syracuse,-76.139999,43.040001
2013,Josh,,Glenn Robinson III,Michigan,4,10.7,21,14,13,6,10,12,76,6,12.7,8,62,3,South,Big Ten,280,Michigan,-83.75,42.259998
2013,Andrew F,,Ben McLemore,Kansas,1,16.4,11,2,20,,,,33,3,11,1,4,4,South,Big 12,281,Kansas,-95.25,38.950001
2013,Andrew F,6,Jeff Withey,Kansas,1,13.6,17,16,12,,,,45,3,15,2,13,4,South,Big 12,282,Kansas,-95.25,38.950001
2013,Andrew F,,Keith Appling,Michigan St.,3,13.6,15,2,16,,,,33,3,11,3,20,4,Midwest,Big Ten,283,Michigan St.,-84.489998,42.73
2013,Andrew F,,Gary Harris,Michigan St.,3,12.9,10,23,6,,,,39,3,13,4,29,4,Midwest,Big Ten,284,Michigan St.,-84.489998,42.73
2013,Andrew F,,Dwayne Evans,Saint Louis,4,13.6,24,16,,,,,40,2,20,5,36,4,Midwest,Atlantic 10,285,Saint Louis,-90.230003,38.630001
2013,Andrew F,,C.J. Fair,Syracuse,4,14.4,13,18,11,13,22,,77,5,15.4,6,45,4,East,Big East,286,Syracuse,-76.139999,43.040001
2013,Andrew F,,Adreian Payne,Michigan St.,3,10.4,7,14,14,,,,35,3,11.7,7,52,4,Midwest,Big Ten,287,Michigan St.,-84.489998,42.73
2013,Andrew F,,Rotnei Clarke,Butler,6,16.700001,16,24,,,,,40,2,20,8,61,4,East,Atlantic 10,288,Butler,-86.169998,39.84
2013,Bryan,1,Elias Harris,Gonzaga,1,14.9,5,12,,,,,17,2,8.5,1,5,5,West,West Coast,289,Gonzaga,-117.4,47.669998
2013,Bryan,,Shane Larkin,Miami,2,14.2,10,17,14,,,,41,3,13.7,2,12,5,East,ACC,290,Miami,-80.279999,25.719999
2013,Bryan,,Peyton Siva,Louisville,1,10,6,10,4,16,7,18,61,6,10.2,3,21,5,Midwest,Big East,291,Louisville,-85.75,38.259998
2013,Bryan,,Erik Murphy,Florida,3,12.7,18,15,4,0,,,37,4,9.3000002,4,28,5,South,SEC,292,Florida,-82.349998,29.65
2013,Bryan,,Tony Snell,New Mexico,3,12.6,9,,,,,,9,1,9,5,37,5,West,Mountain West,293,New Mexico,-106.63,35.07
2013,Bryan,,Treveon Graham,VCU,5,15.4,6,11,,,,,17,2,8.5,6,44,5,South,Atlantic 10,294,VCU,-77.452988,37.552864
2013,Bryan,,Gary Bell Jr.,Gonzaga,1,9.1999998,11,0,,,,,11,2,5.5,7,53,5,West,West Coast,295,Gonzaga,-117.4,47.669998
2013,Bryan,,Alex Kirk,New Mexico,3,11.9,22,,,,,,22,1,22,8,60,5,West,Mountain West,296,New Mexico,-106.63,35.07
2013,Adam,,Mason Plumlee,Duke,2,17.200001,23,10,14,17,,,64,4,16,1,6,6,Midwest,ACC,297,Duke,-78.940002,36
2013,Adam,,Ryan Kelly,Duke,2,14.3,8,1,9,7,,,25,4,6.3000002,2,11,6,Midwest,ACC,298,Duke,-78.940002,36
2013,Adam,4,Kenny Boynton,Florida,3,12.3,11,7,7,13,,,38,4,9.5,3,22,6,South,SEC,299,Florida,-82.349998,29.65
2013,Adam,,Elijah Johnson,Kansas,1,10.1,5,5,13,,,,23,3,7.6999998,4,27,6,South,Big 12,300,Kansas,-95.25,38.950001
2013,Adam,,Travis Releford,Kansas,1,11.5,11,22,16,,,,49,3,16.299999,5,38,6,South,Big 12,301,Kansas,-95.25,38.950001
2013,Adam,,Mike Rosario,Florida,3,12.1,8,25,15,9,,,57,4,14.3,6,43,6,South,SEC,302,Florida,-82.349998,29.65
2013,Adam,,Michael Carter-Williams,Syracuse,4,12,4,12,24,12,2,,54,5,10.8,7,54,6,East,Big East,303,Syracuse,-76.139999,43.040001
2013,Adam,,Trey McKinney Jones,Miami,2,9.1000004,8,3,9,,,,20,3,6.6999998,8,59,6,East,ACC,304,Miami,-80.279999,25.719999
2013,Andrew L,,Deshaun Thomas,Ohio St.,2,19.6,24,22,20,23,,,89,4,22.299999,1,7,7,West,Big Ten,305,Ohio St.,-83.019997,40.009998
2013,Andrew L,,Otto Porter,Georgetown,2,16.299999,13,,,,,,13,1,13,2,10,7,South,Big East,306,Georgetown,-77.019997,38.900002
2013,Andrew L,2,Vander Blue,Marquette,3,14.3,16,29,14,14,,,73,4,18.299999,3,23,7,East,Big East,307,Marquette,-87.919998,43.040001
2013,Andrew L,,Gorgui Dieng,Louisville,1,10,8,12,10,14,0,8,52,6,8.6999998,4,26,7,Midwest,Big East,308,Louisville,-85.75,38.259998
2013,Andrew L,,Quinn Cook,Duke,2,12.4,4,7,0,12,,,23,4,5.8000002,5,39,7,Midwest,ACC,309,Duke,-78.940002,36
2013,Andrew L,,Kendall Williams,New Mexico,3,13.5,8,,,,,,8,1,8,6,42,7,West,Mountain West,310,New Mexico,-106.63,35.07
2013,Andrew L,,Patric Young,Florida,3,10.6,16,5,4,8,,,33,4,8.3000002,7,55,7,South,SEC,311,Florida,-82.349998,29.65
2013,Andrew L,,Rasheed Sulaimon,Duke,2,11.5,7,21,16,3,,,47,4,11.8,8,58,7,Midwest,ACC,312,Duke,-78.940002,36
2013,Alex,5,Victor Oladipo,Indiana,1,13.6,11,16,16,,,,43,3,14.3,1,8,8,East,Big Ten,313,Indiana,-86.519997,39.18
2013,Alex,,Seth Curry,Duke,2,17,26,17,29,12,,,84,4,21,2,9,8,Midwest,ACC,314,Duke,-78.940002,36
2013,Alex,,Aaron Craft,Ohio St.,2,9.8999996,4,18,13,9,,,44,4,11,3,24,8,West,Big Ten,315,Ohio St.,-83.019997,40.009998
2013,Alex,,Tim Hardaway Jr.,Michigan,4,14.8,21,14,10,9,13,12,79,6,13.2,4,25,8,South,Big Ten,316,Michigan,-83.75,42.259998
2013,Alex,,Chane Behanan,Louisville,1,9.8999996,8,5,7,8,10,15,53,6,8.8000002,5,40,8,Midwest,Big East,317,Louisville,-85.75,38.259998
2013,Alex,,Davante Gardner,Marquette,3,11.5,9,8,14,14,,,45,4,11.3,6,41,8,East,Big East,318,Marquette,-87.919998,43.040001
2013,Alex,,Ben Brust,Wisconsin,5,11.4,6,,,,,,6,1,6,7,56,8,West,Big Ten,319,Wisconsin,-89.400002,43.07
2013,Alex,,DÕVauntes Smith-Rivera,Georgetown,2,9,6,,,,,,6,1,6,8,57,8,South,Big East,320,Georgetown,-77.019997,38.900002
2014,Andrew F,,Doug McDermott,Creighton,3,26.5,30,15,,,,,45,2,22.5,1,1,1,West,Big East,321,Creighton,-95.93,41.259998
2014,Andrew F,,DeAndre Kane,Iowa St.,3,17.1,14,24,15,,,,53,3,17.700001,2,16,1,East,Big 12,322,Iowa St.,-93.639999,42.02
2014,Andrew F,,Georges Niang,Iowa St.,3,16.200001,24,,,,,,24,1,24,3,17,1,East,Big 12,323,Iowa St.,-93.639999,42.02
2014,Andrew F,,Jordan Adams,UCLA,4,17.200001,21,19,17,,,,57,3,19,4,32,1,South,Pac-12,324,UCLA,-118.45,34.07
2014,Andrew F,,Kyle Anderson,UCLA,4,14.9,8,15,11,,,,34,3,11.3,5,33,1,South,Pac-12,325,UCLA,-118.45,34.07
2014,Andrew F,,Chris Jones,Louisville,4,10.3,11,11,6,,,,28,3,9.3000002,6,48,1,Midwest,American Athletic,326,Louisville,-85.75,38.259998
2014,Andrew F,,Cameron Bairstow,New Mexico,7,20.299999,24,,,,,,24,1,24,7,49,1,South,Mountain West,327,New Mexico,-106.63,35.07
2014,Andrew F,7,Rasheed Sulaimon,Duke,3,9.5,20,,,,,,20,1,20,8,64,1,Midwest,ACC,328,Duke,-78.940002,36
2014,Andrew L,,Nick Johnson,Arizona,1,16.1,18,17,15,16,,,66,4,16.5,1,2,2,West,Pac-12,329,Arizona,-110.95,32.23
2014,Andrew L,,Nik Stauskas,Michigan,2,17.4,15,17,14,24,,,70,4,17.5,2,15,2,Midwest,Big Ten,330,Michigan,-83.75,42.259998
2014,Andrew L,,Adreian Payne,Michigan St.,4,16.1,41,12,16,13,,,82,4,20.5,3,18,2,East,Big Ten,331,Michigan St.,-84.489998,42.73
2014,Andrew L,,Tyler Ennis,Syracuse,3,12.7,16,19,,,,,35,2,17.5,4,31,2,South,ACC,332,Syracuse,-76.139999,43.040001
2014,Andrew L,1,Sam Dekker,Wisconsin,2,12.9,11,12,7,7,15,,52,5,10.4,5,34,2,West,Big Ten,333,Wisconsin,-89.400002,43.07
2014,Andrew L,,Branden Dawson,Michigan St.,4,9.6999998,10,26,24,5,,,65,4,16.299999,6,47,2,East,Big Ten,334,Michigan St.,-84.489998,42.73
2014,Andrew L,,Wayne Selden,Kansas,2,10.2,2,2,,,,,4,2,2,7,50,2,South,Big 12,335,Kansas,-95.25,38.950001
2014,Andrew L,,Dwayne Evans,Saint Louis,5,14,11,16,,,,,27,2,13.5,8,63,2,Midwest,Atlantic 10,336,Saint Louis,-90.230003,38.630001
2014,Bryan,,Cleanthony Early,Wichita St.,1,15.8,23,31,,,,,54,2,27,1,3,3,Midwest,Missouri Valley,337,Wichita St.,-97.300003,37.720001
2014,Bryan,2,Malcolm Brogdon,Virginia,1,12.6,14,8,17,,,,39,3,13,2,14,3,East,ACC,338,Virginia,-78.510002,38.049999
2014,Bryan,,Ron Baker,Wichita St.,1,13.1,7,20,,,,,27,2,13.5,3,19,3,Midwest,Missouri Valley,339,Wichita St.,-97.300003,37.720001
2014,Bryan,,Joe Harris,Virginia,1,11.4,11,16,17,,,,44,3,14.7,4,30,3,East,ACC,340,Virginia,-78.510002,38.049999
2014,Bryan,,Darrun Hilliard,Villanova,2,14.4,16,13,,,,,29,2,14.5,5,35,3,East,Big East,341,Villanova,-75.169998,39.900002
2014,Bryan,,Treveon Graham,VCU,5,15.7,19,,,,,,19,1,19,6,46,3,South,Atlantic 10,342,VCU,-77.452988,37.552864
2014,Bryan,,LaQuinton Ross,Ohio St.,6,15.4,10,,,,,,10,1,10,7,51,3,South,Big Ten,343,Ohio St.,-83.019997,40.009998
2014,Bryan,,Anthony Gill,Virginia,1,8,17,13,3,,,,33,3,11,8,62,3,East,ACC,344,Virginia,-78.510002,38.049999
2014,Rob,,Andrew Wiggins,Kansas,2,17.4,19,4,,,,,23,2,11.5,1,4,4,South,Big 12,345,Kansas,-95.25,38.950001
2014,Rob,,Melvin Ejim,Iowa St.,3,18.200001,17,19,7,,,,43,3,14.3,2,13,4,East,Big 12,346,Iowa St.,-93.639999,42.02
2014,Rob,,Rodney Hood,Duke,3,16.5,6,,,,,,6,1,6,3,20,4,Midwest,ACC,347,Duke,-78.940002,36
2014,Rob,,Frank Kaminski,Wisconsin,2,13.4,8,19,19,28,8,,82,5,16.4,4,29,4,West,Big Ten,348,Wisconsin,-89.400002,43.07
2014,Rob,8,Marcus Paige,North Carolina,6,17.1,19,19,,,,,38,2,19,5,36,4,East,ACC,349,North Carolina,-79.040001,35.900002
2014,Rob,,Fred VanVleet,Wichita St.,1,12.1,4,4,,,,,8,2,4,6,45,4,Midwest,Missouri Valley,350,Wichita St.,-97.300003,37.720001
2014,Rob,,Buddy Hield,Oklahoma,5,16.799999,9,,,,,,9,1,9,7,52,4,West,Big 12,351,Oklahoma,-97.440002,35.189999
2014,Rob,,Julius Randle,Kentucky,8,15.4,19,13,15,16,16,10,89,6,14.8,8,61,4,Midwest,SEC,352,Kentucky,-84.5,38.049999
2014,James,,Casey Prather,Florida,1,14.3,16,8,12,6,15,,57,5,11.4,1,5,5,South,SEC,353,Florida,-82.349998,29.65
2014,James,,Gary Harris,Michigan St.,4,17.5,10,18,6,22,,,56,4,14,2,12,5,East,Big Ten,354,Michigan St.,-84.489998,42.73
2014,James,,Patric Young,Florida,1,11,10,7,4,12,19,,52,5,10.4,3,21,5,South,SEC,355,Florida,-82.349998,29.65
2014,James,,Keith Appling,Michigan St.,4,12.8,4,2,2,2,,,10,4,2.5,4,28,5,East,Big Ten,356,Michigan St.,-84.489998,42.73
2014,James,,Caris Lavert,Michigan,2,13.4,6,14,10,9,,,39,4,9.8000002,5,37,5,Midwest,Big Ten,357,Michigan,-83.75,42.259998
2014,James,,Ben Brust,Wisconsin,2,12.4,17,12,14,5,15,,63,5,12.6,6,44,5,West,Big Ten,358,Wisconsin,-89.400002,43.07
2014,James,,Traevon Jackson,Wisconsin,2,10.8,18,16,7,10,12,,63,5,12.6,7,53,5,West,Big Ten,359,Wisconsin,-89.400002,43.07
2014,James,6,Ryan Arcidiacono,Villanova,2,10,2,18,,,,,20,2,10,8,60,5,East,Big East,360,Villanova,-75.169998,39.900002
2014,Josh,,Russ Smith,Louisville,4,17.5,18,11,23,,,,52,3,17.299999,1,6,6,Midwest,American Athletic,361,Louisville,-85.75,38.259998
2014,Josh,,CJ Fair,Syracuse,3,16.700001,14,14,,,,,28,2,14,2,11,6,South,ACC,362,Syracuse,-76.139999,43.040001
2014,Josh,,James Bell,Villanova,2,14.9,12,14,,,,,26,2,13,3,22,6,East,Big East,363,Villanova,-75.169998,39.900002
2014,Josh,,Xavier Thames,San Diego St.,4,16.9,23,30,25,,,,78,3,26,4,27,6,West,Mountain West,364,San Diego St.,-117.07,32.77
2014,Josh,,Luke Hancock,Louisville,4,11.9,16,21,19,,,,56,3,18.700001,5,38,6,Midwest,American Athletic,365,Louisville,-85.75,38.259998
2014,Josh,3,Trevor Cooney,Syracuse,3,12.2,18,2,,,,,20,2,10,6,43,6,South,ACC,366,Syracuse,-76.139999,43.040001
2014,Josh,,James Michael McAdoo,North Carolina,6,14.2,16,14,,,,,30,2,15,7,54,6,East,ACC,367,North Carolina,-79.040001,35.900002
2014,Josh,,Ethan Wragge,Creighton,3,10.7,12,7,,,,,19,2,9.5,8,59,6,West,Big East,368,Creighton,-95.93,41.259998
2014,Adam,,Jabari Parker,Duke,3,19.200001,14,,,,,,14,1,14,1,7,7,Midwest,ACC,369,Duke,-78.940002,36
2014,Adam,,Aaron Gordon,Arizona,1,12.3,16,18,15,8,,,57,4,14.3,2,10,7,West,Pac-12,370,Arizona,-110.95,32.23
2014,Adam,,Perry Ellis,Kansas,2,13.6,14,9,,,,,23,2,11.5,3,23,7,South,Big 12,371,Kansas,-95.25,38.950001
2014,Adam,4,JayVaughn Pinkston,Villanova,2,14.3,15,11,,,,,26,2,13,4,26,7,East,Big East,372,Villanova,-75.169998,39.900002
2014,Adam,,Jerami Grant,Syracuse,3,12.2,16,4,,,,,20,2,10,5,39,7,South,ACC,373,Syracuse,-76.139999,43.040001
2014,Adam,,Tekele Cotton,Wichita St.,1,10.8,0,5,,,,,5,2,2.5,6,42,7,Midwest,Missouri Valley,374,Wichita St.,-97.300003,37.720001
2014,Adam,,Shabazz Napier,Connecticut,7,17.799999,24,25,19,25,12,22,127,6,21.200001,7,55,7,East,American Athletic,375,Connecticut,-72.676193,41.768265
2014,Adam,,T.J. McConnell,Arizona,1,8.3000002,0,12,11,9,,,32,4,8,8,58,7,West,Pac-12,376,Arizona,-110.95,32.23
2014,Alex,,Scottie Wilbekin,Florida,1,13,10,21,13,23,4,,71,5,14.2,1,8,8,South,SEC,377,Florida,-82.349998,29.65
2014,Alex,,Michael Frazier II,Florida,1,12.8,3,10,19,10,3,,45,5,9,2,9,8,South,SEC,378,Florida,-82.349998,29.65
2014,Alex,,Montrezl Harrel,Louisville,4,14,12,10,15,,,,37,3,12.3,3,24,8,Midwest,American Athletic,379,Louisville,-85.75,38.259998
2014,Alex,5,Kaleb Tarczewski ,Arizona,1,10.2,10,6,7,12,,,35,4,8.8000002,4,25,8,West,Pac-12,380,Arizona,-110.95,32.23
2014,Alex,,Sean Kilpatrick,Cincinnati,5,20.9,18,,,,,,18,1,18,5,40,8,East,American Athletic,381,Cincinnati,-84.459999,39.029999
2014,Alex,,Glenn Robinson III,Michigan,2,13.2,14,14,13,14,,,55,4,13.8,6,41,8,Midwest,Big Ten,382,Michigan,-83.75,42.259998
2014,Alex,,Quinn Cook,Duke,3,11.6,23,,,,,,23,1,23,7,56,8,Midwest,ACC,383,Duke,-78.940002,36
2014,Alex,,Joseph Young,Oregon,7,18.200001,19,29,,,,,48,2,24,8,57,8,West,Pac-12,384,Oregon,-123.07,44.049999
