year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2023,Rob,,Azuolas Tubelis,Arizona,2,19.799999,22,,,,,,22,1,22,1,4,4,,,857,Arizona,-110.95,32.23
2023,Rob,,Marcus Carr,Texas,2,15.9,17,10,18,17,,,62,4,15.5,2,13,4,,,858,Texas,-97.730003,30.280001
2023,Rob,,Fletcher Loyer,Purdue,1,11.1,13,,,,,,13,1,13,3,20,4,,,859,Purdue,-86.919998,40.43
2023,Rob,,K.J. Adams Jr.,Kansas,1,10.4,13,14,,,,,27,2,13.5,4,29,4,,,860,Kansas,-95.25,38.950001
2023,Rob,,Olivier-Maence Prosper,Marquette,2,12.4,11,16,,,,,27,2,13.5,5,36,4,,,861,Marquette,-87.919998,43.040001
2023,Rob,,Isaiah Wong,Miami,5,16.200001,5,27,20,14,15,,81,5,16.200001,6,45,4,,,862,Miami,-80.279999,25.719999
2023,Rob,,Aidan Mahaney,Saint Mary's,5,14.5,0,9,,,,,9,2,4.5,7,52,4,,,863,Saint Mary's,-122.11,37.84
2023,Rob,,Jahmir Young,Maryland,8,16.1,10,12,,,,,22,2,11,8,61,4,,,864,Maryland,-76.940002,39
2023,Bryan,,Marcus Sasser,Houston,1,17.1,5,22,14,,,,41,3,13.7,1,5,5,,,865,Houston,-95.346931,29.724676
2023,Bryan,,Mark Sears,Alabama,1,12.8,15,6,16,,,,37,3,12.3,2,12,5,,,866,Alabama,-87.539696,33.202972
2023,Bryan,,Tyler Kolek,Marquette,2,13.3,8,7,,,,,15,2,7.5,3,21,5,,,867,Marquette,-87.919998,43.040001
2023,Bryan,,Noah Clowney,Alabama,1,10.2,10,5,3,,,,18,3,6,4,28,5,,,868,Alabama,-87.539696,33.202972
2023,Bryan,,Colby Jones,Xavier,3,15.2,12,10,12,,,,34,3,11.3,5,37,5,,,869,Xavier,-84.470001,39.150002
2023,Bryan,,Logan Johnson,Saint Mary's,5,14.7,12,9,,,,,21,2,10.5,6,44,5,,,870,Saint Mary's,-122.11,37.84
2023,Bryan,,Josiah-Jordan James,Tennessee,4,10.2,8,7,10,,,,25,3,8.3000002,7,53,5,,,871,Tennessee,-83.925056,35.951138
2023,Bryan,,Trey Aleander,Creighton,6,13.6,9,17,19,8,,,53,4,13.3,8,60,5,,,872,Creighton,-95.93,41.259998
2023,Andrew F,,Jaime Jaquez Jr.,UCLA,2,17.299999,17,24,29,,,,70,3,23.299999,1,6,6,,,873,UCLA,-118.45,34.07
2023,Andrew F,,Tyger Campbell,UCLA,2,13.6,7,12,14,,,,33,3,11,2,11,6,,,874,UCLA,-118.45,34.07
2023,Andrew F,,Souley Boum,Xavier,3,16.5,17,14,12,,,,43,3,14.3,3,22,6,,,875,Xavier,-84.470001,39.150002
2023,Andrew F,,Jordan Hawkins,Connecticut,4,16.4,13,12,24,20,13,16,98,6,16.299999,4,27,6,,,876,Connecticut,-72.676193,41.768265
2023,Andrew F,,Oscar Tshiebwe,Kentucky,6,16.5,8,25,,,,,33,2,16.5,5,38,6,,,877,Kentucky,-84.5,38.049999
2023,Andrew F,,Ryan Kalkbrenner,Creighton,6,15.4,31,10,22,17,,,80,4,20,6,43,6,,,878,Creighton,-95.93,41.259998
2023,Andrew F,,Adam Kunkel,Xavier,3,10.2,8,15,21,,,,44,3,14.7,7,54,6,,,879,Xavier,-84.470001,39.150002
2023,Andrew F,,Ricky Council IV,Arkansas,8,15.9,18,21,17,,,,56,3,18.700001,8,59,6,,,880,Arkansas,-94.18,36.060001
2023,James,,Drew Timme,Gonzaga,3,20.9,21,28,36,12,,,97,4,24.299999,1,7,7,,,881,Gonzaga,-117.4,47.669998
2023,James,,Keyontae Johnson,Kansas St.,3,17.700001,18,13,22,9,,,62,4,15.5,2,10,7,,,882,Kansas St.,-96.589996,39.200001
2023,James,,Adam Flagler,Baylor,3,15.5,18,15,,,,,33,2,16.5,3,23,7,,,883,Baylor,-97.110001,31.549999
2023,James,,LJ Cryer,Baylor,3,14.5,15,30,,,,,45,2,22.5,4,26,7,,,884,Baylor,-97.110001,31.549999
2023,James,,Anton Watson,Gonzaga,3,11.3,14,9,8,6,,,37,4,9.3000002,5,39,7,,,885,Gonzaga,-117.4,47.669998
