tFirst,tSecond,interval,lon,lat,date,band
2013-06-13 05:44,2013-06-13 15:24,29,-158.4775446,22.4987569,2013-06-13,843
2013-06-13 15:24,2013-06-14 05:29,30,-156.5765371,19.08713349,2013-06-13,843
2013-06-14 05:29,2013-06-14 15:49,31,-159.6746778,13.06273571,2013-06-14,843
2013-06-14 15:49,2013-06-15 05:44,32,-161.5228462,16.69696877,2013-06-14,843
2013-06-15 05:44,2013-06-15 15:24,33,-158.3716538,22.40806204,2013-06-15,843
2013-06-15 15:24,2013-06-16 05:49,34,-158.9697781,23.40528055,2013-06-15,843
2013-06-16 05:49,2013-06-16 15:24,35,-158.9429183,23.43288901,2013-06-16,843
2013-06-16 15:24,2013-06-17 05:44,36,-158.2910515,22.311596,2013-06-16,843
2013-06-17 05:44,2013-06-17 15:24,37,-158.2640333,22.34434541,2013-06-17,843
2013-06-17 15:24,2013-06-18 05:49,38,-158.8618496,23.34626928,2013-06-17,843
2013-06-18 05:49,2013-06-18 15:24,39,-158.8347217,23.38118383,2013-06-18,843
2013-06-18 15:24,2013-06-19 04:49,40,-151.3086846,9.02383373,2013-06-18,843
2013-06-19 04:49,2013-06-19 15:29,41,-151.9064015,7.740749602,2013-06-19,843
2013-06-19 15:29,2013-06-20 05:19,42,-155.6286335,15.38728401,2013-06-19,843
2013-06-20 05:19,2013-06-20 15:24,43,-154.9765275,16.64166875,2013-06-20,843
2013-06-20 15:24,2013-06-21 05:49,44,-158.698777,23.30984664,2013-06-20,843
2013-06-21 05:49,2013-06-21 15:24,45,-158.6716141,23.35510809,2013-06-21,843
2013-06-21 15:24,2013-06-22 05:44,46,-158.0195913,22.2524635,2013-06-21,843
2013-06-22 05:44,2013-06-22 15:24,47,-157.9925149,22.30199052,2013-06-22,843
2013-06-22 15:24,2013-06-23 05:44,48,-157.9655137,22.26084153,2013-06-22,843
2013-06-23 05:44,2013-06-23 15:39,49,-159.8132932,18.99097976,2013-06-23,843
2013-06-23 15:39,2013-06-24 05:34,50,-158.5366425,16.60928482,2013-06-23,843
2013-06-24 05:34,2013-06-24 15:29,51,-157.2600738,19.00723212,2013-06-24,843
2013-06-24 15:29,2013-06-25 04:54,52,-152.2341857,9.039860783,2013-06-24,843
2013-06-25 04:54,2013-06-25 15:24,53,-151.5827554,10.42298203,2013-06-25,843
2013-06-25 15:24,2013-06-26 5:49,54,-158.4303837,23.38758541,2013-06-25,843
2013-06-26 5:49,2013-06-26 15:29,55,-159.029052,22.38810644,2013-06-26,843
2013-06-26 15:29,2013-06-27 05:54,56,-159.6279131,23.42408253,2013-06-26,843
2013-06-27 05:54,2013-06-27 15:24,57,-158.977092,24.52497497,2013-06-27,843
2013-06-27 15:24,2013-06-28 05:54,58,-158.9514025,24.50593414,2013-06-27,843
2013-06-28 05:54,2013-06-28 15:24,59,-158.9258679,24.57238676,2013-06-28,843
2013-06-28 15:24,2013-06-29 05:39,60,-157.0258449,21.36322261,2013-06-28,843
2013-06-29 05:39,2013-06-29 15:24,61,-157.0007341,21.43336477,2013-06-29,843
2013-06-29 15:24,2013-06-30 05:19,62,-154.4762385,16.8014053,2013-06-29,843
2013-06-30 05:19,2013-06-30 15:24,63,-154.4515977,16.87371933,2013-06-30,843
2013-06-30 15:24,2013-07-01 05:44,64,-157.5518324,22.57137575,2013-06-30,843
2013-07-01 05:44,2013-07-01 15:34,65,-158.7775415,20.4352476,2013-07-01,843
2013-07-01 15:34,2013-07-02 05:49,66,-159.3786638,21.546194,2013-07-01,843
2013-07-02 05:49,2013-07-02 15:39,67,-159.980022,20.50315732,2013-07-02,843
2013-07-02 15:39,2013-07-03 05:49,68,-159.9568145,20.4976436,2013-07-02,843
2013-07-03 05:49,2013-07-03 15:44,69,-160.5587813,19.42839218,2013-07-03,843
2013-07-03 15:44,2013-07-04 05:44,70,-159.9112809,18.24746513,2013-07-03,843
2013-07-04 05:44,2013-07-04 15:54,71,-161.1388233,15.89564254,2013-07-04,843
2013-07-04 15:54,2013-07-05 06:09,72,-164.2415411,21.79097872,2013-07-04,843
2013-07-05 06:09,2013-07-05 15:39,73,-162.3451514,25.10658182,2013-07-05,843
2013-07-05 15:39,2013-07-06 06:04,74,-161.6990414,24.0700612,2013-07-05,843
2013-07-06 06:04,2013-07-06 15:54,75,-163.5529392,20.84044371,2013-07-06,843
2013-07-06 15:54,2013-07-07 04:59,76,-155.4084135,3.805375229,2013-07-06,843
2013-07-07 04:59,2013-07-07 16:24,77,-159.1378917,-5.119306677,2013-07-07,843
2013-07-07 16:24,2013-07-08 06:09,78,-167.8672807,14.86767923,2013-07-07,843
2013-07-08 06:09,2013-07-08 16:34,79,-169.0978638,12.32834912,2013-07-08,843
2013-07-08 16:34,2013-07-09 06:14,80,-169.7039942,13.65522129,2013-07-08,843
2013-07-09 06:14,2013-07-09 16:44,81,-170.9354352,11.05246759,2013-07-09,843
2013-07-09 16:44,2013-07-10 06:34,82,-173.4172561,16.33583967,2013-07-09,843
2013-07-10 06:34,2013-07-10 16:14,83,-169.6500665,23.55460506,2013-07-10,843
2013-07-10 16:14,2013-07-11 06:39,84,-170.257987,24.68793137,2013-07-10,843
2013-07-11 06:39,2013-07-11 16:09,85,-169.6163941,25.85680952,2013-07-11,843
2013-07-11 16:09,2013-07-12 06:59,86,-172.1000943,29.92290417,2013-07-11,843
2013-07-12 06:59,2013-07-12 16:14,87,-172.7093377,29.0644643,2013-07-12,843
2013-07-12 16:14,2013-07-13 06:49,88,-171.4443373,27.1106371,2013-07-12,843
2013-07-13 06:49,2013-07-13 16:19,89,-172.0545675,26.16963179,2013-07-13,843
2013-07-13 16:19,2013-07-14 06:39,90,-170.7905517,24.0431789,2013-07-13,843
2013-07-14 06:39,2013-07-14 15:44,91,-166.4021658,31.32183822,2013-07-14,843
2013-07-14 15:44,2013-07-15 06:19,92,-163.8892505,27.45300022,2013-07-14,843
2013-07-15 06:19,2013-07-15 15:24,93,-161.3767256,31.50991069,2013-07-15,843
2013-07-15 15:24,2013-07-16 06:29,94,-162.6145956,33.41002942,2013-07-15,843
2013-07-16 06:29,2013-07-16 15:09,95,-160.7280671,36.07099502,2013-07-16,843
2013-07-16 15:09,2013-07-17 06:49,96,-163.2169603,39.23778219,2013-07-16,843
2013-07-17 06:49,2013-07-17 16:29,97,-173.2058396,24.67836085,2013-07-17,843
2013-07-17 16:29,2013-07-18 06:29,98,-170.6961266,19.95306669,2013-07-17,843
2013-07-18 06:29,2013-07-18 14:54,99,-158.8123208,38.8513073,2013-07-18,843
2013-07-18 14:54,2013-07-19 06:54,100,-161.928449,42.4363734,2013-07-18,843
2013-07-19 06:54,2013-07-19 15:09,101,-163.7950384,40.54272578,2013-07-19,843
2013-07-19 15:09,2013-07-20 07:04,102,-165.037428,42.02722568,2013-07-19,843
2013-07-20 07:04,2013-07-20 15:09,103,-165.0302654,42.15948243,2013-07-20,843
2013-07-20 15:09,2013-07-21 06:54,104,-163.7739198,40.9103513,2013-07-20,843
2013-07-21 06:54,2013-07-21 15:04,105,-163.1429499,41.74027285,2013-07-21,843
2013-07-21 15:04,2013-07-22 06:49,106,-162.5127571,41.17170487,2013-07-21,843
2013-07-22 06:49,2013-07-22 15:04,107,-162.5079554,41.31089832,2013-07-22,843
2013-07-22 15:04,2013-07-23 06:49,108,-162.5039436,41.44318611,2013-07-22,843
2013-07-23 06:49,2013-07-23 14:59,109,-161.8753585,42.27954877,2013-07-23,843
2013-07-23 14:59,2013-07-24 06:59,110,-163.1225468,43.74672638,2013-07-23,843
2013-07-24 06:59,2013-07-24 15:24,111,-166.2451363,40.41955179,2013-07-24,843
2013-07-24 15:24,2013-07-25 06:49,112,-164.9935826,39.01812719,2013-07-24,843
2013-07-25 06:49,2013-07-25 15:04,113,-162.4924626,42.16310614,2013-07-25,843
2013-07-25 15:04,2013-07-26 06:49,114,-162.4921321,42.3135751,2013-07-25,843
2013-07-26 06:49,2013-07-26 14:54,115,-161.2422245,43.83155106,2013-07-26,843
2013-07-26 14:54,2013-07-27 06:59,116,-162.4931521,45.27379421,2013-07-26,843
2013-07-27 06:59,2013-07-27 15:09,117,-164.3695114,43.47332095,2013-07-27,843
2013-07-27 15:09,2013-07-28 06:44,118,-162.4966625,41.48835436,2013-07-27,843
2013-07-28 06:44,2013-07-28 15:04,119,-161.8742597,42.38456652,2013-07-28,843
2013-07-28 15:04,2013-07-29 06:39,120,-161.2526729,41.81583702,2013-07-28,843
2013-07-29 06:39,2013-07-29 15:14,121,-162.5065701,40.4325648,2013-07-29,843
2013-07-29 15:14,2013-07-30 06:54,122,-164.3863126,42.89440542,2013-07-29,843
2013-07-30 06:54,2013-07-30 15:14,123,-164.3914524,43.0603712,2013-07-30,843
2013-07-30 15:14,2013-07-31 06:59,124,-165.0224419,43.9565816,2013-07-30,843
2013-07-31 06:59,2013-07-31 15:29,125,-166.9039219,41.9167623,2013-07-31,843
2013-07-31 15:29,2013-08-01 06:29,126,-163.1609963,36.97925272,2013-07-31,843
2013-08-01 06:29,2013-08-01 15:19,127,-161.9186251,38.96992547,2013-08-01,843
2013-08-01 15:19,2013-08-02 07:29,128,-169.4274833,47.9204848,2013-08-01,843
2013-08-02 07:29,2013-08-02 15:19,129,-169.4364263,48.09493067,2013-08-02,843
2013-08-02 15:19,2013-08-03 07:09,130,-166.9460752,45.74771736,2013-08-02,843
2013-08-03 07:09,2013-08-03 14:54,131,-163.8310922,49.04751635,2013-08-03,843
2013-08-03 14:54,2013-08-04 04:44,132,-145.7159593,21.1699088,2013-08-03,843
2013-08-04 04:44,2013-08-04 14:44,133,-144.4773161,24.22900767,2013-08-04,843
2013-08-04 14:44,2013-08-05 06:24,134,-156.9903697,45.12366046,2013-08-04,843
2013-08-05 06:24,2013-08-05 14:59,135,-158.8781914,43.03889254,2013-08-05,843
2013-08-05 14:59,2013-08-06 06:34,136,-160.1417851,44.80398044,2013-08-05,843
2013-08-06 06:34,2013-08-06 14:54,137,-159.5306739,45.72564629,2013-08-06,843
2013-08-06 14:54,2013-08-07 05:59,138,-155.1700429,40.26547266,2013-08-06,843
2013-08-07 05:59,2013-08-07 15:04,139,-156.4353217,38.56042242,2013-08-07,843
2013-08-07 15:04,2013-08-08 6:04,140,-157.0763187,39.77056011,2013-08-07,843
2013-08-08 6:04,2013-08-08 14:54,141,-155.8426018,41.79818683,2013-08-08,843
2013-08-08 14:54,2013-08-09 04:34,142,-144.6086537,19.58125607,2013-08-08,843
2013-08-09 04:34,2013-08-09 14:44,143,-143.3761315,22.98362148,2013-08-09,843
2013-08-09 14:44,2013-08-10 05:59,144,-154.0205364,43.36953591,2013-08-09,843
2013-08-10 05:59,2013-08-10 15:04,145,-156.5395996,39.91096609,2013-08-10,843
2013-08-10 15:04,2013-08-11 06:19,146,-159.059427,43.84536661,2013-08-10,843
2013-08-11 06:19,2013-08-11 15:14,147,-160.3295634,42.29341539,2013-08-11,843
2013-08-11 15:14,2013-08-12 06:24,148,-160.9753744,43.46492148,2013-08-11,843
2013-08-12 06:24,2013-08-12 14:54,149,-158.496241,46.94972891,2013-08-12,843
2013-08-12 14:54,2013-08-13 05:54,150,-154.7676703,42.12412415,2013-08-12,843
2013-08-13 05:54,2013-08-13 15:14,151,-157.2902903,38.23423554,2013-08-13,843
2013-08-13 15:14,2013-08-14 05:59,152,-157.9383839,39.62003665,2013-08-13,843
2013-08-14 05:59,2013-08-14 15:14,153,-157.961833,39.83911386,2013-08-14,843
2013-08-14 15:14,2013-08-15 05:54,154,-157.3608819,39.05381548,2013-08-14,843
2013-08-15 05:54,2013-08-15 15:14,155,-157.3854423,39.27603566,2013-08-15,843
2013-08-15 15:14,2013-08-16 5:59,156,-158.0357613,40.68203086,2013-08-15,843
2013-08-16 5:59,2013-08-16 14:59,157,-156.1861395,43.92709149,2013-08-16,843
2013-08-16 14:59,2013-08-17 05:59,158,-156.2124497,44.24313558,2013-08-16,843
2013-08-17 05:59,2013-08-17 15:49,159,-162.4901043,32.75931217,2013-08-17,843
2013-08-17 15:49,2013-08-18 05:54,160,-161.8923722,31.62226243,2013-08-17,843
2013-08-18 05:54,2013-08-18 15:04,161,-156.2942781,43.0861674,2013-08-18,843
2013-08-18 15:04,2013-08-19 05:49,162,-155.6975698,42.38094527,2013-08-18,843
2013-08-19 05:49,2013-08-19 15:19,163,-157.6016542,39.21091891,2013-08-19,843
2013-08-19 15:19,2013-08-20 05:54,164,-158.2561527,40.75889869,2013-08-19,843
2013-08-20 05:54,2013-08-20 15:04,165,-156.4106234,44.27510284,2013-08-20,843
2013-08-20 15:04,2013-08-21 05:49,166,-155.8158952,43.59217052,2013-08-20,843
2013-08-21 05:49,2013-08-21 15:14,167,-157.0968586,41.6291551,2013-08-21,843
2013-08-21 15:14,2013-08-22 05:54,168,-157.7532987,43.14110638,2013-08-21,843
2013-08-22 05:54,2013-08-22 15:14,169,-157.7849955,43.40588256,2013-08-22,843
2013-08-22 15:14,2013-08-23 05:44,170,-156.5670282,41.2696744,2013-08-22,843
2013-05-30 05:43,2013-05-30 15:23,1,-158.859554,23.92177697,2013-05-30,844
2013-05-30 15:23,2013-05-31 05:03,2,-153.8421818,13.99505247,2013-05-30,844
2013-05-31 05:03,2013-05-31 15:28,3,-154.4488895,12.63424349,2013-05-31,844
2013-05-31 15:28,2013-06-01 05:13,4,-155.6800477,15.20921565,2013-05-31,844
2013-06-01 05:13,2013-06-01 15:33,5,-156.2859116,13.88200433,2013-06-01,844
2013-06-01 15:33,2013-06-02 04:38,6,-151.8918625,3.932956093,2013-06-01,844
2013-06-02 04:38,2013-06-02 15:48,7,-153.7467763,-0.5465575331,2013-06-02,844
2013-06-02 15:48,2013-06-03 05:23,8,-159.3508316,12.36844351,2013-06-02,844
2013-06-03 05:23,2013-06-03 16:28,9,-164.3295966,0.9511634059,2013-06-03,844
2013-06-03 16:28,2013-06-04 05:43,10,-166.8082299,6.749998891,2013-06-03,844
2013-06-04 05:43,2013-06-04 15:48,11,-161.7874328,17.42654362,2013-06-04,844
2013-06-04 15:48,2013-06-05 05:13,12,-158.0161062,9.501673976,2013-06-04,844
2013-06-05 05:13,2013-06-05 15:28,13,-155.4943437,14.83021114,2013-06-05,844
2013-06-05 15:28,2013-06-06 04:48,14,-152.3472953,8.060203253,2013-06-05,844
2013-06-06 04:48,2013-06-06 15:23,15,-151.6996576,9.465387768,2013-06-06,844
2013-06-06 15:23,2013-06-07 05:08,16,-154.1762698,14.66895456,2013-06-06,844
2013-06-07 05:08,2013-06-07 16:03,17,-159.1522852,3.798722065,2013-06-07,844
2013-06-07 16:03,2013-06-08 04:53,18,-157.2538738,-0.6498907547,2013-06-07,844
2013-06-08 04:53,2013-06-08 16:08,19,-157.854875,-2.078583207,2013-06-08,844
2013-06-08 16:08,2013-06-09 05:13,20,-160.3303331,3.704871722,2013-06-08,844
2013-06-09 05:13,2013-06-09 15:28,21,-155.306575,14.55192815,2013-06-09,844
2013-06-09 15:28,2013-06-10 05:08,22,-154.6569488,13.20114,2013-06-09,844
2013-06-10 05:08,2013-06-10 15:33,23,-155.2569471,11.93320243,2013-06-10,844
2013-06-10 15:33,2013-06-11 04:23,24,-149.6075698,-0.6713455838,2013-06-10,844
2013-06-11 04:23,2013-06-11 16:03,25,-153.3316813,-9.4986008,2013-06-11,844
2013-06-11 16:03,2013-06-12 05:23,26,-160.805035,7.815740037,2013-06-11,844
2013-06-12 05:23,2013-06-12 15:28,27,-156.4049072,16.85245878,2013-06-12,844
2013-06-12 15:28,2013-06-13 05:28,28,-157.0038595,17.96910716,2013-06-12,844
2013-06-13 05:28,2013-06-13 15:28,29,-156.9777619,17.99473996,2013-06-13,844
2013-06-13 15:28,2013-06-14 05:18,30,-155.701666,15.52274809,2013-06-13,844
2013-06-14 05:18,2013-06-14 15:33,31,-156.3001745,14.32116663,2013-06-14,844
2013-06-14 15:33,2013-06-15 5:28,32,-157.5234375,16.69735706,2013-06-14,844
2013-06-15 5:28,2013-06-15 15:38,33,-158.1216899,15.5227741,2013-06-15,844
2013-06-15 15:38,2013-06-16 05:03,34,-154.9703764,9.064516916,2013-06-15,844
2013-06-16 05:03,2013-06-16 15:23,35,-153.0687956,13.00997188,2013-06-16,844
2013-06-16 15:23,2013-06-17 05:03,36,-153.0418398,12.94495614,2013-06-16,844
2013-06-17 05:03,2013-06-17 15:43,37,-155.5144456,7.758241958,2013-06-17,844
2013-06-17 15:43,2013-06-18 05:48,38,-161.1115111,18.95846095,2013-06-17,844
2013-06-18 05:48,2013-06-18 15:23,39,-158.5847594,23.38119701,2013-06-18,844
